# KJV word help
#
# One entry per line:   forms | kind | meaning | today | verses
#   forms   comma-separated, lowercase; a form with spaces is a phrase
#   kind    archaic   a word or form no longer in ordinary use
#           changed   still in use, but the KJV meaning is different (a "false friend")
#           unit      an old measure, weight or coin
#   meaning what it means in the KJV
#   today   (optional) what a modern reader is likely to assume instead
#   verses  (optional) "@ Book 1:2; Book 3:4": the entry applies only in these verses, for words
#           that keep their modern meaning everywhere else
#           "@! Book 1:2; Book 3:4": the entry applies everywhere EXCEPT these verses
# Lines starting with # are comments. The definitions are written for the KJV's own usage.

# ---- Where, when and how: adverbs and conjunctions -------------------------------------------
whither | archaic | to what place; to where
hither | archaic | to this place; here
thither | archaic | to that place; there
whence | archaic | from where
thence | archaic | from that place; from there
thitherward | archaic | toward that place
whithersoever | archaic | to whatever place; wherever
wherefore | archaic | why; for what reason (also: therefore, for that reason)
verily | archaic | truly; certainly; in truth
peradventure | archaic | perhaps; maybe; by chance
haply | archaic | perhaps; by chance
nigh | archaic | near; close
anon | changed | immediately; at once | Today: soon, or later
by and by | changed | immediately; at once | Today: after a while
straightway | archaic | immediately; at once
forthwith | archaic | immediately; at once
presently | changed | immediately; at once | Today: in a little while
oft, oftentimes, ofttimes | archaic | often
betimes | archaic | early; in good time
ere | archaic | before
betwixt | archaic | between
twain | archaic | two
naught, nought | archaic | nothing
whit | archaic | the smallest bit ("every whit" = completely)
howbeit | archaic | however; nevertheless
withal | archaic | with it; as well; at the same time
yonder | archaic | over there; at that distance
heretofore | archaic | until now; before this
beforetime | archaic | previously; in earlier times
aforetime, afore | archaic | earlier; before
thereof, thereon, thereto, thereunto, therewith, thereat, thereupon, thereout, therefrom | archaic | of it; on it; to it; with it; at it (that thing just mentioned)
whereof, whereon, whereunto, whereto, whereinto, wherewith, wherewithal | archaic | of which; on which; to which; with which
asunder | archaic | apart; into pieces
straitly | archaic | strictly; sternly
uprightly | archaic | honestly; with integrity

# ---- Verbs, and old past tenses --------------------------------------------------------------
wist, wot, wotteth | archaic | knew; know
durst | archaic | dared
spake | archaic | spoke
smite, smiteth, smiting | archaic | strike; hit; defeat
smote, smitten | archaic | struck; hit; defeated
slew | archaic | killed
slay, slayeth | archaic | kill
begat | archaic | fathered (had a child as the father)
begotten | archaic | fathered; born of a father
beget | archaic | to father
brake | archaic | broke
drave | archaic | drove
sware | archaic | swore
gat | archaic | got
forgat | archaic | forgot
tare | archaic | tore
trode | archaic | trod; stepped on
builded | archaic | built
digged | archaic | dug
wrought | archaic | worked; made; did
rent | changed | tore; torn | Today: payment for housing
rend | archaic | tear apart
girt | archaic | tied around; girded
waxed, waxen, waxeth | archaic | grew; became
lien | archaic | lain
holpen | archaic | helped
holden | archaic | held
sod | archaic | boiled
sodden | changed | boiled | Today: soaked
seethe, seething | changed | boil; boiling | Today: be furious
chode | archaic | quarrelled
chide | archaic | quarrel with; scold
spue | archaic | vomit
bade | archaic | commanded; told
bidden | archaic | invited; commanded
besought | archaic | begged
beseech, beseeching | archaic | beg; ask earnestly
intreat, intreated | archaic | plead with; beg; also, treat
hearken, hearkened, hearkenedst, hearkeneth | archaic | listen; pay attention
tarry, tarried, tarrieth, tarrying | archaic | wait; stay; linger
abode | archaic | stayed; lived; also, a dwelling
